"filename", "language", "Java", "comment", "blank", "total"
"e:\ISEL Archive\pg1 - 2013-2014 - 1º sem\trabs\trab3\src\app\Demos.java", "Java", 63, 0, 12, 75
"e:\ISEL Archive\pg1 - 2013-2014 - 1º sem\trabs\trab3\src\bubbles\BubblesBreaker.java", "Java", 10, 0, 6, 16
"e:\ISEL Archive\pg1 - 2013-2014 - 1º sem\trabs\trab3\src\bubbles\BubblesGui.java", "Java", 72, 0, 14, 86
"e:\ISEL Archive\pg1 - 2013-2014 - 1º sem\trabs\trab3\src\bubbles\Command.java", "Java", 138, 2, 16, 156
"e:\ISEL Archive\pg1 - 2013-2014 - 1º sem\trabs\trab3\src\bubbles\Controller.java", "Java", 154, 4, 18, 176
"e:\ISEL Archive\pg1 - 2013-2014 - 1º sem\trabs\trab3\src\bubbles\Counter.java", "Java", 37, 0, 9, 46
"e:\ISEL Archive\pg1 - 2013-2014 - 1º sem\trabs\trab3\src\bubbles\Node.java", "Java", 101, 7, 19, 127
"e:\ISEL Archive\pg1 - 2013-2014 - 1º sem\trabs\trab3\src\bubbles\Point.java", "Java", 18, 0, 7, 25
"e:\ISEL Archive\pg1 - 2013-2014 - 1º sem\trabs\trab3\src\bubbles\World.java", "Java", 99, 10, 17, 126
"Total", "-", 692, 23, 118, 833